Time,Latitude,Longitude
0.0,36.04515738,-86.97637362
18.0,36.04528679,-86.97652962
48.0,36.04522311,-86.97676738
53.0,36.0451216,-86.97699124
58.0,36.04496153,-86.97717483
62.0,36.04480814,-86.9773207
67.0,36.04464102,-86.97748691
71.0,36.04446221,-86.97765807
74.0,36.0443002,-86.9777751
77.0,36.04407925,-86.97788635
80.0,36.043836,-86.9779509
83.0,36.04356722,-86.97796664
86.0,36.0433102,-86.97799944
89.0,36.04308588,-86.97808621
92.0,36.04293345,-86.97820978
97.0,36.04292972,-86.97843779
101.0,36.04310558,-86.97867826
103.0,36.043225,-86.97884589
106.0,36.04339884,-86.97908565
108.0,36.04352744,-86.97925404
110.0,36.04369588,-86.97946639
112.0,36.0438797,-86.97969563
114.0,36.04404436,-86.97992635
116.0,36.04421693,-86.98017323
118.0,36.04440526,-86.9804259
120.0,36.04459578,-86.9806845
122.0,36.0447901,-86.98093428
124.0,36.04503574,-86.98116336
126.0,36.0452852,-86.98136835
128.0,36.04552081,-86.98152833
130.0,36.04579461,-86.98169022
132.0,36.04608602,-86.98185453
134.0,36.0463661,-86.98203664
136.0,36.04665105,-86.98221523
138.0,36.04693071,-86.98242318
140.0,36.04715912,-86.98262922
142.0,36.04739963,-86.98288389
144.0,36.0476286,-86.98314601
146.0,36.04784627,-86.98339499
148.0,36.04807133,-86.98362091
150.0,36.04831045,-86.98379872
152.0,36.0485323,-86.98399314
154.0,36.04880213,-86.98415404
156.0,36.04910604,-86.9842431
158.0,36.04944134,-86.9842539
160.0,36.04976154,-86.98418282
162.0,36.05006222,-86.98406749
164.0,36.05037214,-86.983963
166.0,36.05066327,-86.98383057
168.0,36.05096972,-86.98377033
170.0,36.05124857,-86.98373165
172.0,36.0515617,-86.98384275
174.0,36.05183385,-86.98394141
176.0,36.05210368,-86.98408131
178.0,36.05233733,-86.98430033
180.0,36.05250712,-86.9845504
182.0,36.05263384,-86.98474152
185.0,36.05275774,-86.98491691
190.0,36.05288559,-86.98507748
194.0,36.05302579,-86.98529447
196.0,36.05315273,-86.98546295
